,EGO-ws,EGO-ss,EGO-impute,SMAC,EGO-baseline,Sklearn
1_46,6.89,6.95,6.81,6.71,6.78,6.68
2_184,54.61,54.55,59.98,54.54,54.63,63.92
3_389,14.17,14.17,14.01,14.03,14.02,17.15
4_772,43.47,43.49,43.48,43.57,43.53,44.44
5_917,10.9,10.81,10.6,10.68,10.78,10.3
6_1049,9.89,9.76,9.74,9.86,9.84,9.6
adlt,14.35,14.35,14.35,14.27,14.3,14.0
bnk,10.07,10.04,10.27,10.25,10.07,10.44
car,8.76,8.81,8.8,8.79,9.0,9.32
ches,75.08,74.94,75.51,75.78,75.87,80.59
ltr,2.38,2.38,3.29,2.37,2.42,5.42
mgic,12.45,12.35,13.06,12.38,12.46,13.07
msk,11.72,9.4,9.51,11.14,11.34,13.35
p-blk,3.92,3.87,3.97,3.95,3.9,4.0
pim,21.99,21.73,22.08,21.87,22.04,22.68
s-gc,21.99,21.72,22.54,22.56,22.01,23.28
s-im,2.72,2.7,2.85,2.75,2.82,2.93
s-pl,35.89,35.39,36.39,36.03,36.56,35.96
s-sh,0.09,0.09,0.1,0.08,0.07,0.03
sem,4.32,4.3,6.28,4.71,4.69,4.71
spam,7.3,7.24,7.04,7.05,7.04,7.22
thy,0.28,0.26,0.38,0.41,0.24,0.24
tita,22.04,21.87,22.16,21.86,21.65,26.26
wine,40.56,40.37,40.72,40.9,40.47,41.46
