Unnamed: 0,RS,Spearmint,SMAC,CMA,GP-matern-noimpute,GP-matern,GP-cond,GP-laplace,GP-matern-ls,GP-cond-ls,GP-laplace-ls,EGO-baseline,EGO-impute,EGO-ss,EGO-ws,Sklearn
RS,,0.16,0.07,0.36,0.83,0.01,0.20,0.86,0.14,0.00,0.20,0.02,0.25,0.02,0.02,0.64
Spearmint,0.16,,0.04,0.05,0.04,0.01,0.02,0.02,0.04,0.00,0.00,0.00,0.01,0.00,0.00,0.10
SMAC,0.07,0.04,,0.05,0.06,1.00,0.92,0.42,0.88,0.06,0.88,0.07,0.71,0.04,0.04,0.25
CMA,0.36,0.05,0.05,,0.88,0.03,0.31,0.68,0.35,0.01,0.30,0.03,0.32,0.03,0.03,0.55
GP-matern-noimpute,0.83,0.04,0.06,0.88,,0.10,0.06,0.51,0.30,0.01,0.05,0.02,0.07,0.02,0.03,0.92
GP-matern,0.01,0.01,1.00,0.03,0.10,,0.88,0.16,0.43,0.08,0.73,0.16,0.92,0.25,0.33,0.40
GP-cond,0.20,0.02,0.92,0.31,0.06,0.88,,0.06,0.59,0.01,0.55,0.14,0.97,0.14,0.25,0.27
GP-laplace,0.86,0.02,0.42,0.68,0.51,0.16,0.06,,0.31,0.02,0.01,0.06,0.18,0.07,0.07,0.35
GP-matern-ls,0.14,0.04,0.88,0.35,0.30,0.43,0.59,0.31,,0.05,0.88,0.20,0.92,0.16,0.22,0.58
GP-cond-ls,0.00,0.00,0.06,0.01,0.01,0.08,0.01,0.02,0.05,,0.17,0.36,0.47,0.43,0.51,0.12
GP-laplace-ls,0.20,0.00,0.88,0.30,0.05,0.73,0.55,0.01,0.88,0.17,,0.18,0.78,0.18,0.27,0.47
EGO-baseline,0.02,0.00,0.07,0.03,0.02,0.16,0.14,0.06,0.20,0.36,0.18,,0.01,0.33,0.97,0.01
EGO-impute,0.25,0.01,0.71,0.32,0.07,0.92,0.97,0.18,0.92,0.47,0.78,0.01,,0.02,0.04,0.05
EGO-ss,0.02,0.00,0.04,0.03,0.02,0.25,0.14,0.07,0.16,0.43,0.18,0.33,0.02,,0.01,0.01
EGO-ws,0.02,0.00,0.04,0.03,0.03,0.33,0.25,0.07,0.22,0.51,0.27,0.97,0.04,0.01,,0.01
Sklearn,0.64,0.10,0.25,0.55,0.92,0.40,0.27,0.35,0.58,0.12,0.47,0.01,0.05,0.01,0.01,
